status	slug	lens_system_type	display_name	datasheet_path	reasons
ready	sony-a6600	interchangeable	Sony A6600	catalog/data_sheets/sony/sony-a6600/datasheet.yaml	
ready	sony-a6700	interchangeable	Sony A6700	catalog/data_sheets/sony/sony-a6700/datasheet.yaml	
ready	sony-a7-c-ii	interchangeable	Sony A7C II	catalog/data_sheets/sony/sony-a7-c-ii/datasheet.yaml	
ready	sony-a7-iii	interchangeable	Sony A7 III	catalog/data_sheets/sony/sony-a7-iii/datasheet.yaml	
ready	sony-a7-iv	interchangeable	Sony A7 IV	catalog/data_sheets/sony/sony-a7-iv/datasheet.yaml	
ready	sony-a7-r-v	interchangeable	Sony A7R V	catalog/data_sheets/sony/sony-a7-r-v/datasheet.yaml	
ready	sony-a7-s-iii	interchangeable	Sony A7S III	catalog/data_sheets/sony/sony-a7-s-iii/datasheet.yaml	
ready	sony-zv-e10	interchangeable	Sony ZV-E10	catalog/data_sheets/sony/sony-zv-e10/datasheet.yaml	
